Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000254,Club Abe,Amstelstraat 30,30,,1017DA,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000256,Gym 3,Zetterij 3,3,,1185ZZ,Amstelveen,Amstelveen,,,,,,,,,,7
000257,Bar Spek,Admiraal de Ruijterweg 1,1,,1057JT,Amsterdam,020-West,,,,,,,,,,4
000258,Ushake,Schermerstraat 13 ZW,13,,2013EP,Haarlem,Haarlem,,,,,,,,,,
000261,Mercato - Waardeloods B.V.,Ten Katestraat 117,117,,1053CC,Amsterdam,020-West,,,,,,,,,,4
000262,Meat West B.V.,Hannie Dankbaarpassage 16,16,,1053RT,Amsterdam,020-West,,,,,,,,,,4
000263,Barca Amsterdam B.V.,Marie Heinekenplein 30 - 31,30,,1072MH,Amsterdam,020-Zuid - De Pijp,,,,,Leveranciersingang zit aan de zijkant (quelijnstraat) - Parkeren Laad en Los plek,✔️,,,,3
000264,Molly Malones,Oudezijds Kolk 9,9,,1012AL,Amsterdam,020-Centrum,,,,,,,,,,5
000265,O'Caseys Irish Pub,Noordeinde 140,140,,2514GP,Den Haag,Den Haag,,,,,,,,,,
000267,Buskruijt B.V.,Veemarkt 144 A,144,A,1019DE,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
000268,Vørding Spirits B.V.,Nieuwpoortkade 2a,2,A,1055RX,Amsterdam,020-West,,,,,,,,,,4
000270,van Melis,Oude Molenweg 35,35,,5425VP,De Mortel,De Mortel,,,,,,,,,,
000271,notariskantoor van Ligten,Hugo de Vrieslaan,,,1097ED,Amsterdam,020-Oost,,,,,,,,,,2
000277,Pernod Ricard Nederland B.V.,NDSM-Plein 34,34,,1033WB,Amsterdam,020-Noord,,,,,,,,,,1
000280,From Scratch to Hatch,Goudsbloemstraat 1 1h,1,H,1015JJ,Amsterdam,020-Centrum-West,,,,,,,,,,4
